id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8204117,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,43263949,Francesca,,Centro Storico,43.78816,11.23327,Private room,,1,1,2016-01-05,0.01,1,0,0,
7589249,Rental unit in Florence · ★4.80 · 1 bedroom · 1 bed · 1 bath,39799539,Silvia,,Centro Storico,43.77234,11.25956,Entire home/apt,152,3,99,2023-10-31,0.97,3,19,24,048017LTN3897
8222956,Rental unit in Florence · ★4.89 · 2 bedrooms · 4 beds · 2 baths,5104015,Francesco,,Centro Storico,43.7762,11.2552,Entire home/apt,117,2,84,2023-08-23,0.86,13,324,8,
7591519,Condo in Florence · ★4.71 · 1 bedroom · 2 beds · 1 bath,39803592,Berny,,Centro Storico,43.77902,11.25644,Entire home/apt,88,2,335,2023-12-13,3.29,1,336,50,048017LTN2301
8261511,Loft in Florence · ★4.81 · 1 bedroom · 1 bed · 1 bath,43565965,Francesco,,Centro Storico,43.76712,11.24579,Entire home/apt,,5,106,2023-11-25,1.06,1,0,25,
8287695,Rental unit in Florence · ★4.92 · 2 bedrooms · 3 beds · 1.5 baths,11435015,Nirvana,,Gavinana Galluzzo,43.764903175525625,11.279532045550017,Entire home/apt,150,1,12,2023-05-16,1.42,1,358,12,
7594468,Rental unit in Florence · ★4.86 · 1 bedroom · 1 bed · 1 bath,39823313,Andrea,,Centro Storico,43.78569,11.23481,Entire home/apt,,4,21,2019-08-17,0.21,1,0,0,
8314408,Rental unit in Florence · ★4.40 · 2 bedrooms · 4 beds · 1 bath,4156491,Apartments Florence,,Centro Storico,43.77245,11.26427,Entire home/apt,252,3,5,2017-09-29,0.05,97,0,0,
8314500,Rental unit in Florence · ★4.62 · 2 bedrooms · 2 beds · 1 bath,1425302,Silvia,,Centro Storico,43.78104,11.25918,Entire home/apt,97,2,165,2023-11-20,1.72,1,195,9,048017LTN13729
7594951,Rental unit in Florence · ★4.71 · 1 bedroom · 1 bed · 1 bath,6816655,Coral,,Centro Storico,43.77119,11.27079,Entire home/apt,,3,92,2023-01-17,0.92,2,0,4,
8325387,Rental unit in Florence · ★4.86 · 2 bedrooms · 3 beds · 1 bath,28846712,Hanna & Andrea,,Centro Storico,43.76476,11.26275,Entire home/apt,71,1,429,2023-12-18,4.30,1,0,48,
7606263,Rental unit in Florence · ★4.56 · 7 bedrooms · 14 beds · 5.5 baths,167739,Lorenzo,,Centro Storico,43.77572,11.25225,Entire home/apt,931,2,16,2023-09-03,0.20,11,289,6,
8346137,Rental unit in Florence · ★4.97 · 2 bedrooms · 3 beds · 1.5 baths,22410058,Pietro,,Centro Storico,43.76845,11.24253,Entire home/apt,179,2,33,2023-10-27,0.33,2,332,10,
7608235,Rental unit in Florence · ★4.52 · 1 bedroom · 1 bed · 1 shared bath,11701916,Antonio,,Centro Storico,43.77564,11.25523,Private room,60,1,587,2023-12-13,5.79,11,2,4,048017AFR2225
8348606,Rental unit in Florence · ★4.62 · 1 bedroom · 1 bed · 1 private bath,15960426,Erika,,Gavinana Galluzzo,43.74911,11.2585,Private room,,1,21,2021-11-28,0.22,6,0,0,
7613045,Rental unit in Florence · ★4.56 · 2 bedrooms · 2 beds · 2 baths,39543314,David,,Centro Storico,43.77915,11.25972,Entire home/apt,220,3,36,2022-10-01,0.36,1,358,0,
7618601,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,11683876,Rita,,Centro Storico,43.77741,11.25269,Private room,,4,0,,,1,0,0,
8357951,Rental unit in Florence · ★4.65 · 1 bedroom · 2 beds · 1 bath,44054853,Paola,,Centro Storico,43.777792914614,11.252780550552671,Entire home/apt,71,1,341,2023-10-31,3.40,2,262,56,
7623162,Rental unit in Florence · ★4.55 · 2 bedrooms · 5 beds · 1 bath,39988844,Bruno,,Rifredi,43.80061,11.23699,Entire home/apt,85,1,22,2023-03-11,0.22,1,0,1,
8449637,Rental unit in Florence · ★4.72 · 1 bedroom · 3 beds · 1 bath,44482841,Lidia,,Rifredi,43.79014,11.2548,Entire home/apt,112,2,87,2023-11-01,0.94,1,299,24,
7623219,Rental unit in Florence · ★4.88 · 2 bedrooms · 2 beds · 1 bath,5012353,Ludovica & Family,,Centro Storico,43.76948,11.24689,Entire home/apt,171,2,244,2023-11-21,2.42,4,163,45,048017LTN2449
7623947,Rental unit in Florence · ★4.62 · 2 bedrooms · 2 beds · 1 bath,2653408,Vins,,Centro Storico,43.767747611804815,11.251535995565105,Entire home/apt,139,2,312,2023-11-26,3.09,1,324,57,
8450568,Rental unit in Florence · ★4.67 · 1 bedroom · 1 bed · 1 bath,44486678,Elena,,Centro Storico,43.76214,11.24206,Entire home/apt,80,5,319,2023-11-21,3.21,1,76,43,
8464704,Loft in Florence · ★4.85 · 1 bedroom · 2 beds · 1 bath,6453195,Enrico,,Centro Storico,43.77277,11.24723,Entire home/apt,92,2,357,2023-12-18,3.59,1,0,69,
7627720,Rental unit in Florence · ★4.96 · 1 bedroom · 1 bed · 1 bath,40013291,Claudio,,Centro Storico,43.767803,11.245473,Entire home/apt,121,3,270,2023-12-10,2.78,1,0,50,
8476133,Condo in Florence · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,44637319,Lucia,,Campo di Marte,43.78324,11.28059,Private room,39,1,259,2023-12-11,2.58,1,155,47,
7628475,Rental unit in Florence · ★4.67 · 1 bedroom · 1 bed · 1 bath,9589459,Anacleto,,Centro Storico,43.77761,11.25119,Private room,,3,3,2015-09-08,0.03,1,0,0,
7632319,Rental unit in Florence · ★4.69 · 1 bedroom · 2 beds · 1 bath,34525220,Giorgio,,Centro Storico,43.77662,11.2516,Private room,81,1,264,2023-10-05,2.61,12,129,15,
8491051,Rental unit in Florence · ★4.94 · 3 bedrooms · 3 beds · 2 baths,32319722,Stefano,,Centro Storico,43.77017,11.24396,Entire home/apt,134,5,64,2023-10-16,0.64,1,243,10,048017LTN1008
7639381,Townhouse in Florence · ★4.85 · 1 bedroom · 1 bed · 1 bath,13050508,Roberto & Paola,,Isolotto Legnaia,43.77302,11.23628,Entire home/apt,95,3,68,2023-09-16,0.68,3,20,17,048017LTN5439
8498045,Bed and breakfast in Florence · ★4.67 · 1 bedroom · 2 beds · 1 bath,4839217,Cristina,,Campo di Marte,43.78667,11.27378,Hotel room,110,15,3,2023-05-28,0.18,3,65,1,
7642834,Rental unit in Florence · 3 bedrooms · 5 beds · 2 baths,31512498,Matteo,,Centro Storico,43.77536,11.259,Entire home/apt,,5,0,,,1,0,0,
8502201,Rental unit in Florence · ★4.96 · 3 bedrooms · 12 beds · 2 baths,9288345,Salvatore,,Centro Storico,43.76724,11.25789,Entire home/apt,218,2,96,2023-11-20,0.99,12,0,15,
8502234,Condo in Florence · ★4.58 · 1 bedroom · 4 beds · 1 bath,44054853,Paola,,Centro Storico,43.76812264939521,11.241876788060377,Entire home/apt,54,1,329,2023-10-29,3.29,2,299,55,
7645409,Rental unit in Florence · ★4.57 · 1 bedroom · 1 bed · 1 bath,707707,Monika,,Centro Storico,43.771706,11.254394,Entire home/apt,105,1,239,2023-10-29,2.37,26,242,28,048017LTN2140
8503952,Condo in Florence · ★4.63 · 2 bedrooms · 1 bed · 1 private bath,7878792,Giulia,,Centro Storico,43.7781,11.26451,Private room,200,2,19,2023-07-24,0.21,3,363,2,
7660582,Rental unit in Florence · 8 bedrooms · 8 beds · 4 baths,40209408,Gianfranco,,Centro Storico,43.76632,11.25594,Entire home/apt,,1,0,,,1,0,0,
8513685,Rental unit in Florence · ★4.94 · 2 bedrooms · 8 beds · 2 baths,9288345,Salvatore,,Centro Storico,43.76676,11.25989,Entire home/apt,170,2,66,2023-11-06,0.74,12,276,15,
8513998,Rental unit in Florence · ★4.96 · 5 bedrooms · 16 beds · 4 baths,9288345,Salvatore,,Centro Storico,43.76698,11.25916,Entire home/apt,481,2,47,2023-11-09,0.52,12,245,3,
7685029,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,40360573,Francesco,,Centro Storico,43.7812,11.2594,Entire home/apt,,1,0,,,1,0,0,
8514507,Rental unit in Florence · ★4.89 · 2 bedrooms · 2 beds · 2 baths,44834636,Claudia,,Centro Storico,43.77293,11.26309,Entire home/apt,200,2,9,2023-04-08,0.13,2,272,1,
8515681,Rental unit in Florence · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,44834636,Claudia,,Centro Storico,43.77308,11.26303,Entire home/apt,200,2,32,2023-08-28,0.35,2,294,9,
7696999,Rental unit in Florence · ★4.67 · 1 bedroom · 1 bed · 1 bath,6127679,Alessandro E Amanda,,Centro Storico,43.7695,11.26061,Entire home/apt,77,2,557,2023-12-03,5.47,1,0,82,048017LTN2741
7720832,Rental unit in Florence · ★4.63 · 2 bedrooms · 3 beds · 2 baths,40568133,Stefano,,Centro Storico,43.77401,11.24789,Entire home/apt,113,3,292,2023-11-26,2.87,1,228,44,048017LTN4411
8515746,Rental unit in Florence · ★4.69 · 3 bedrooms · 5 beds · 2 baths,44839382,Paola,,Centro Storico,43.772,11.26216,Entire home/apt,200,7,39,2023-10-18,0.39,3,171,7,
8531830,Condo in Florence · ★4.73 · 1 bedroom · 3 beds · 1 shared bath,9128898,Chiara,,Rifredi,43.80312,11.23632,Private room,51,2,219,2023-11-19,2.32,3,166,46,
7736766,Rental unit in Florence · 1 bedroom · 1 bed · 2 baths,6996196,Jacopo,,Gavinana Galluzzo,43.76472,11.2797,Entire home/apt,,1,0,,,1,0,0,
8536394,Cottage in Florence · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,25333136,Eleonora,,Gavinana Galluzzo,43.74994,11.23307,Entire home/apt,107,3,135,2023-11-08,1.39,2,0,20,
8546167,Guesthouse in Florence · ★4.67 · 1 bedroom · 1 bed · 1 private bath,1250315,Simone,,Centro Storico,43.78178,11.25423,Private room,52,2,12,2023-10-11,0.13,4,179,2,06090360485
8560989,Rental unit in Florence · ★4.47 · 1 bedroom · 3 beds · 1 bath,39776,Carol,,Centro Storico,43.77778,11.25491,Entire home/apt,120,1,15,2023-09-23,0.16,24,364,3,
7738003,Rental unit in Florence · ★5.0 · 1 bedroom · 2 beds · 2 shared baths,9209562,Manuel,,Isolotto Legnaia,43.77158,11.22424,Private room,25,120,3,2023-03-15,0.03,5,292,1,
7738165,Condo in Florence · ★4.88 · 1 bedroom · 3 beds · 1 bath,9641979,Ilaria,,Centro Storico,43.7682,11.25578,Entire home/apt,135,2,238,2023-10-15,2.35,6,349,48,048017LTI4350
7739792,Rental unit in Florence · 3 bedrooms · 5 beds · 2 baths,9209562,Manuel,,Isolotto Legnaia,43.77136,11.2241,Entire home/apt,1600,1,0,,,5,201,0,
7744831,Rental unit in Florence · ★4.64 · Studio · 1 bed · 1 bath,40709080,Nicola,,Centro Storico,43.77519,11.24777,Entire home/apt,59,2,77,2023-12-04,0.82,1,49,30,
8580756,Home in Florence · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,45159659,Tina,,Centro Storico,43.77692,11.25596,Private room,57,2,376,2023-11-13,3.88,6,161,69,048017AFR2640
8589104,Home in Florence · ★4.87 · 2 bedrooms · 2 beds · 2 baths,42582678,Donella,,Centro Storico,43.7833,11.23956,Entire home/apt,94,2,359,2023-11-24,3.65,2,290,53,
7754129,Resort in Florence · ★4.33 · 1 bedroom · 2 beds · 1 private bath,40769134,Gianluca,,Gavinana Galluzzo,43.759,11.22741,Private room,224,15,3,2018-06-20,0.03,1,0,0,
8594773,Condo in Florence · ★4.95 · 1 bedroom · 2 beds · 1 bath,7569800,Sofia,,Campo di Marte,43.78057,11.27897,Entire home/apt,110,3,96,2023-10-06,0.97,1,317,17,
7769397,Rental unit in Florence · ★4.88 · 1 bedroom · 1 bed · 1 bath,40865615,Cosimo,,Centro Storico,43.77437,11.26574,Entire home/apt,124,3,33,2023-10-08,0.33,1,126,2,048017LTI1453
